ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu80,0.277267,0.272144,0.517181,0.009223,0.587433,0.793349,0.00314,0.009421,archaea,nitrososphaerota,nitrososphaeria,nitrososphaerales,nitrososphaeraceae,nitrososphaera,candidatus nitrososphaera gargensis
Zotu81,0.003341,0.00324,0.0,0.0,0.006491,0.003173,0.069069,0.119328,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu82,0.010022,0.00324,0.009519,0.006148,0.009736,0.0,0.006279,0.015701,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter agilis
Zotu83,0.010022,0.025918,0.009519,0.024593,0.006491,0.038081,0.134999,0.157011,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,comamonadaceae,ramlibacter,ramlibacter monticola
Zotu84,1.81393,5.280892,2.176603,0.282825,0.048682,0.006347,0.034535,0.009421,archaea,methanobacteriota,thermoplasmata,methanomassiliicoccales,candidatus methanomethylophilaceae,candidatus methanomethylophilus,candidatus methanomethylophilus alvus
Zotu85,0.013362,0.012959,0.012692,0.854622,0.009736,0.047601,0.034535,0.012561,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,labrys,labrys wisconsinensis
Zotu86,0.053449,0.016199,0.041248,0.03689,0.058419,0.028561,0.031395,0.075365,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,kocuria,kocuria rhizophila
Zotu87,0.016703,0.025918,0.050766,0.009223,0.318058,1.174156,0.285696,0.034542,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,iamiaceae,actinomarinicola,actinomarinicola tropica
Zotu88,0.016703,0.012959,0.031729,0.504166,0.06491,0.225311,0.091046,0.059664,bacteria,chloroflexota,thermomicrobia,sphaerobacterales,sphaerobacteraceae,sphaerobacter,sphaerobacter thermophilus
Zotu89,0.010022,0.022679,0.012692,0.018445,0.016227,0.025387,0.021977,0.015701,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu90,0.0,0.019439,0.006346,0.003074,0.003245,0.00952,0.018837,0.031402,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu91,0.003341,0.00648,0.009519,0.006148,0.003245,0.006347,0.00314,0.081645,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,nibribacter,nibribacter koreensis
Zotu92,0.010022,0.00324,0.057112,0.129116,0.003245,0.012694,0.015698,0.00314,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,roseateles,pelomonas aquatica
Zotu93,0.013362,0.016199,0.003173,0.006148,0.006491,0.003173,0.047093,0.323442,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiales,aquabacterium,aquabacterium limnoticum
Zotu94,0.013362,0.009719,0.009519,0.593317,0.009736,0.003173,0.018837,0.056524,bacteria,bacteroidota,cytophagia,cytophagales,hymenobacteraceae,adhaeribacter,adhaeribacter aquaticus
Zotu95,0.013362,0.029158,0.257004,0.030742,0.019473,0.165017,0.06593,0.031402,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
