"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu4396",2.38814547750161e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu6125",1.80252223452187e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu5612",1.42986731595065e-05,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu4234",2.166099164209e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4868",2.27816258615202e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3983",2.36257343045401e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu633",0.000290890478806323,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu4663",1.77286870036065e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu1507",0.000110813230099465,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu2750",3.32768475216137e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu2421",4.4365368115886e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu5255",1.13984279910737e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu2888",4.76196041689464e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4827",2.03750335985757e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu1773",6.25704035398392e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu3416",2.76627628988501e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu1583",0.000127752648817834,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3588",3.9713355851008e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu3597",2.31744833992822e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu4175",2.91261396841484e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu2717",3.51705496035111e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu1955",5.17021801401728e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu6340",1.22283037255713e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu2790",3.38726706837318e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu3333",3.52718219881505e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu4235",2.71677262453286e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3690",4.13002456306416e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu4229",2.41238046340143e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu4570",2.6064364739339e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu2847",3.17680926894334e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu3046",4.27523977997181e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu3628",2.65146554399266e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu2207",5.90529977343472e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
